animal_id,datetime_intake,found_location,intake_type,intake_condition,animal_type_intake,breed_intake,color_intake,datetime_outcome,date_of_birth,binary_outcome,neuter_status_intake,sex,neuter_status_outcome,age_upon_intake_days,age_upon_outcome_days,time_in_shelter,month_intake,month_outcome,time_in_shelter_days,found_city,animal_breed,animal_color
A815848,2020-03-27 18:54:00,2815 Manor Rd in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-27 19:00:00,2019-03-27 00:00:00,True,Not neutered,,Not neutered,365,,0 days 00:06:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815835,2020-03-27 14:10:00,12176 N Mopac Expy in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-27 15:12:00,2018-03-27 00:00:00,True,Not neutered,,Not neutered,730,,0 days 01:02:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815834,2020-03-27 13:48:00,715 E 8Th St in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-27 15:12:00,2018-03-27 00:00:00,True,Not neutered,,Not neutered,730,,0 days 01:24:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815821,2020-03-26 23:45:00,3621 Bratton Heights Dr in Austin (TX),Wildlife,Normal,Other,Bat,Brown/Brown,2020-03-27 09:08:00,2018-03-26 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 09:23:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815816,2020-03-26 23:21:00,7801 Capital Of Texas in Austin (TX),Wildlife,Normal,Other,Bat,Brown/Brown,2020-03-27 09:05:00,2018-03-26 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 09:44:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815814,2020-03-26 23:05:00,700 Lavaca St in Austin (TX),Wildlife,Normal,Other,Bat,Brown/Brown,2020-03-27 08:16:00,2018-03-26 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 09:11:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815813,2020-03-26 16:54:00,727 Airport Boulevard in Austin (TX),Abandoned,Normal,Dog,Labrador Retriever Mix,Black,2020-03-26 17:04:00,2017-03-26 00:00:00,False,Not neutered,Male,Not neutered,1095,,0 days 00:10:00.000000000,3,3,0.0,Austin (TX),Labrador Retriever,Black
A815799,2020-03-26 14:01:00,9804 Woodshire in Austin (TX),Stray,Injured,Cat,Domestic Medium Hair,Orange/White,2020-03-27 13:16:00,2018-03-26 00:00:00,False,Not neutered,Male,Not neutered,730,730.0,0 days 23:15:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,other
A815792,2020-03-26 12:45:00,Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-26 14:16:00,2019-03-26 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 01:31:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815791,2020-03-26 12:03:00,1106 Clayton Lane in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-26 14:14:00,2018-03-26 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 02:11:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815789,2020-03-26 10:43:00,Tara Drive And Salt Springs Drive in Austin (TX),Stray,Normal,Dog,American Pit Bull Terrier,White/Black,2020-03-26 13:05:00,2019-03-26 00:00:00,False,Neutered,Female,Neutered,365,365.0,0 days 02:22:00.000000000,3,3,0.0,Austin (TX),other,White
A815787,2020-03-26 10:04:00,Austin (TX),Wildlife,Normal,Other,Bat,Gray/Gray,2020-03-27 08:58:00,2019-09-26 00:00:00,True,Not neutered,,Not neutered,152,182.0,0 days 22:54:00.000000000,3,3,0.0,Austin (TX),Bat,Gray
A815779,2020-03-26 01:30:00,2207 Willow St in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-26 08:17:00,2018-03-26 00:00:00,True,Not neutered,,Not neutered,730,,0 days 06:47:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815776,2020-03-25 22:47:00,8601 Research Blvd in Austin (TX),Wildlife,Normal,Other,Bat,Brown/Brown,2020-03-26 09:02:00,2018-03-25 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 10:15:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815773,2020-03-25 17:18:00,914 Porpoise in Lakeway (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-25 17:40:00,2019-03-25 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 00:22:00.000000000,3,3,0.0,Lakeway (TX),Bat,Brown
A815771,2020-03-25 23:19:00,1905 Kramer Swt 300 in Austin (TX),Wildlife,Normal,Other,Bat,Brown/Brown,2020-03-26 08:16:00,2018-03-25 00:00:00,True,Not neutered,,Not neutered,730,,0 days 08:57:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815768,2020-03-25 15:08:00,2915 Aftonshire Way in Austin (TX),Wildlife,Normal,Other,Bat,Black/Brown,2020-03-25 15:20:00,2018-03-25 00:00:00,True,Not neutered,,Not neutered,730,,0 days 00:12:00.000000000,3,3,0.0,Austin (TX),Bat,Black
A815767,2020-03-25 14:46:00,505 W 22Nd St in Austin (TX),Wildlife,Sick,Other,Bat,Brown,2020-03-25 15:03:00,2018-03-25 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 00:17:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815765,2020-03-25 13:30:00,14810 Iowa St in Austin (TX),Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-27 09:52:00,2018-03-25 00:00:00,True,Not neutered,Male,Not neutered,730,730.0,1 days 20:22:00.000000000,3,3,1.0,Austin (TX),Domestic Mixed Dog,Brown
A815763,2020-03-25 13:10:00,12716 Stoney Ridge in Travis (TX),Stray,Sick,Dog,Chihuahua Shorthair,Tan/White,2020-03-26 17:44:00,2018-03-25 00:00:00,False,Not neutered,Female,Not neutered,730,,1 days 04:34:00.000000000,3,3,1.0,Travis (TX),Chihuahua ,Tan
A815762,2020-03-25 11:24:00,5806 Guadalupe in Austin (TX),Wildlife,Sick,Other,Fox,Brown,2020-03-25 11:51:00,2019-03-25 00:00:00,True,Not neutered,,Not neutered,365,,0 days 00:27:00.000000000,3,3,0.0,Austin (TX),other,Brown
A815754,2020-03-24 21:02:00,210 Lavaca St in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-25 07:52:00,2019-03-24 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 10:50:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815753,2020-03-24 21:00:00,421 W 3Rd St in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-25 07:50:00,2019-03-24 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 10:50:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815750,2020-03-24 17:55:00,5414 Shoalwood in Austin (TX),Wildlife,Sick,Other,Raccoon,Brown/Black,2020-03-24 18:54:00,2019-03-24 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 00:59:00.000000000,3,3,0.0,Austin (TX),other,Brown
A815749,2020-03-24 17:45:00,611 E 6Th St in Austin (TX),Wildlife,Injured,Other,Bat,Brown,2020-03-24 18:52:00,2019-03-24 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 01:07:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815748,2020-03-24 17:13:00,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-24 18:32:00,2020-03-18 00:00:00,True,Not neutered,Male,Not neutered,6,6.0,0 days 01:19:00.000000000,3,3,0.0,Travis (TX),Domestic Mixed Dog,Brown
A815747,2020-03-24 17:13:00,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-24 18:31:00,2020-03-18 00:00:00,True,Not neutered,Male,Not neutered,6,6.0,0 days 01:18:00.000000000,3,3,0.0,Travis (TX),Domestic Mixed Dog,Brown
A815746,2020-03-24 17:13:00,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Domestic Shorthair,Orange Tabby,2020-03-24 18:31:00,2020-03-16 00:00:00,False,Not neutered,Male,Not neutered,7,7.0,0 days 01:18:00.000000000,3,3,0.0,Travis (TX),Domestic Mixed Dog,Orange 
A815745,2020-03-24 17:13:00,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-24 18:30:00,2020-03-16 00:00:00,False,Not neutered,Female,Not neutered,7,7.0,0 days 01:17:00.000000000,3,3,0.0,Travis (TX),Domestic Mixed Dog,Brown
A815739,2020-03-24 15:43:00,5013 Copperbend Boulevard in Austin (TX),Owner Surrender,Normal,Dog,German Shepherd,Black/Brown,2020-03-26 11:14:00,2015-03-24 00:00:00,False,Not neutered,Female,Not neutered,1825,1825.0,1 days 19:31:00.000000000,3,3,1.0,Austin (TX),German Shepherd,Black
A815735,2020-03-24 13:45:00,110 Inner Campus Dr in Austin (TX),Wildlife,Sick,Other,Bat,Black,2020-03-24 14:07:00,2019-03-24 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 00:22:00.000000000,3,3,0.0,Austin (TX),Bat,Black
A815729,2020-03-24 12:22:00,1301 Brentwood Street in Austin (TX),Wildlife,Sick,Other,Raccoon,Black/Gray,2020-03-24 13:44:00,2018-03-24 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 01:22:00.000000000,3,3,0.0,Austin (TX),other,Black
A815721,2020-03-23 23:57:00,6800 Mcneil Dr in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-24 09:17:00,2019-03-23 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 09:20:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815716,2020-03-23 21:35:00,7640 Guadalupe in Austin (TX),Stray,Injured,Cat,Domestic Longhair,Gray Tabby,2020-03-24 09:21:00,2017-03-23 00:00:00,True,Not neutered,Male,Not neutered,1095,1095.0,0 days 11:46:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,other
A815715,2020-03-23 19:13:00,1601 Montopolis Dr in Austin (TX),Stray,Nursing,Cat,Domestic Shorthair,Gray,2020-03-24 11:22:00,2020-03-08 00:00:00,False,Not neutered,Male,Not neutered,14,14.0,0 days 16:09:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,Gray
A815714,2020-03-23 19:13:00,1601 Montopolis Dr in Austin (TX),Stray,Nursing,Cat,Domestic Shorthair,Gray,2020-03-24 11:22:00,2020-03-08 00:00:00,False,Not neutered,Female,Not neutered,14,14.0,0 days 16:09:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,Gray
A815708,2020-03-23 16:35:00,5408 Sugar Maple Court in Austin (TX),Stray,Normal,Dog,Rhod Ridgeback/Redbone Hound,Brown,2020-03-27 15:05:00,2019-06-23 00:00:00,False,Not neutered,Female,Not neutered,274,274.0,3 days 22:30:00.000000000,3,3,3.0,Austin (TX),other,Brown
A815688,2020-03-23 12:21:00,2500 Montopolis in Austin (TX),Stray,Normal,Dog,Yorkshire Terrier,Brown/Black,2020-03-24 14:55:00,2016-03-23 00:00:00,False,Neutered,Female,Neutered,1460,1460.0,1 days 02:34:00.000000000,3,3,1.0,Austin (TX),Yorkshire Terrier,Brown
A815686,2020-03-23 12:21:00,2500 Montopolis in Austin (TX),Stray,Normal,Dog,Yorkshire Terrier,Brown/Black,2020-03-24 14:53:00,2014-08-13 00:00:00,False,Neutered,Male,Neutered,1825,1825.0,1 days 02:32:00.000000000,3,3,1.0,Austin (TX),Yorkshire Terrier,Brown
A815679,2020-03-23 10:05:00,10513 Robinwood Circle in Austin (TX),Stray,Normal,Cat,Domestic Shorthair,White/Gray,2020-03-23 18:56:00,2020-03-20 00:00:00,False,Not neutered,Female,Not neutered,3,3.0,0 days 08:51:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,White
A815676,2020-03-23 08:26:00,801 E William Cannon in Austin (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-23 10:11:00,2018-03-23 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 01:45:00.000000000,3,3,0.0,Austin (TX),Bat,Brown
A815673,2020-03-22 18:30:00,2601 Cardinal Loop in Travis (TX),Wildlife,Normal,Other,Bat,Brown,2020-03-23 10:15:00,2019-03-22 00:00:00,True,Not neutered,,Not neutered,365,365.0,0 days 15:45:00.000000000,3,3,0.0,Travis (TX),Bat,Brown
A815662,2020-03-22 14:48:00,Austin (TX),Stray,Normal,Dog,Rottweiler,Black/Brown,2020-03-24 14:55:00,2018-02-14 00:00:00,False,Not neutered,Female,Not neutered,730,730.0,2 days 00:07:00.000000000,3,3,2.0,Austin (TX),other,Black
A815658,2020-03-22 13:27:00,19805 Dornick Hills Ln in Travis (TX),Wildlife,Normal,Other,Bat,Black,2020-03-22 16:15:00,2018-03-22 00:00:00,True,Not neutered,Male,Not neutered,730,730.0,0 days 02:48:00.000000000,3,3,0.0,Travis (TX),Bat,Black
A815650,2020-03-22 10:42:00,1156 West Cesar Chavez in Austin (TX),Stray,Nursing,Cat,Domestic Shorthair,Black/White,2020-03-22 10:44:00,2020-03-17 00:00:00,False,Not neutered,Female,Not neutered,5,5.0,0 days 00:02:00.000000000,3,3,0.0,Austin (TX),Domestic Mixed Dog,Black
