Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A783167,Billie Jean,12/15/2018 01:56:00 PM,12/15/2018 01:56:00 PM,11711 Domain Drive in Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Blue Tabby,Billie Jean,12/15/2018 06:38:00 PM,12/15/2018 06:38:00 PM,06/26/2018,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Blue Tabby,0.0
A753133,Bella,07/02/2017 11:03:00 AM,07/02/2017 11:03:00 AM,9414 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull Mix,Black/White,Bella,07/10/2017 06:42:00 PM,07/10/2017 06:42:00 PM,01/02/2017,Dog,Spayed Female,6 months,Pit Bull Mix,Black/White,0.0
A760404,,10/17/2017 05:38:00 PM,10/17/2017 05:38:00 PM,5301 Wasson Road in Austin (TX),Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair Mix,Black,,10/17/2017 07:01:00 PM,10/17/2017 07:01:00 PM,10/14/2017,Cat,Unknown,3 days,Domestic Shorthair Mix,Black,0.0
A773372,*Kimmy,05/31/2018 11:52:00 AM,05/31/2018 11:52:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,*Kimmy,07/06/2018 02:35:00 PM,07/06/2018 02:35:00 PM,05/31/2017,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,0.0
A789156,,02/16/2019 11:25:00 AM,02/16/2019 11:25:00 AM,Westgate Boulevard And Bushnell Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Yorkshire Terrier Mix,Brown/Black,,02/20/2019 04:49:00 PM,02/20/2019 04:49:00 PM,02/16/2009,Dog,Spayed Female,10 years,Yorkshire Terrier Mix,Brown/Black,0.0
A761920,Coco,11/28/2017 06:50:00 PM,11/28/2017 06:50:00 PM,Travis (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Tan,Coco,12/10/2017 05:56:00 PM,12/10/2017 05:56:00 PM,11/11/2014,Dog,Intact Female,3 years,Pit Bull Mix,Tan,0.0
A726377,,05/10/2016 12:50:00 PM,05/10/2016 12:50:00 PM,3416 River Rd in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog,Blue/Black,,05/14/2016 12:00:00 AM,05/14/2016 12:00:00 AM,03/10/2016,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue/Black,0.0
A720373,*Laverne,02/08/2016 11:24:00 AM,02/08/2016 11:24:00 AM,Burnell And Langston in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Staffordshire Mix,Brown Brindle,*Laverne,02/15/2016 06:53:00 PM,02/15/2016 06:53:00 PM,02/08/2015,Dog,Spayed Female,1 year,Staffordshire Mix,Brown Brindle,0.0
A712167,,09/18/2015 04:43:00 PM,09/18/2015 04:43:00 PM,600 Congress in Austin (TX),Public Assist,Normal,Other,Unknown,1 year,Bat,Black,,09/18/2015 05:23:00 PM,09/18/2015 05:23:00 PM,09/18/2014,Other,Unknown,1 year,Bat,Black,1.0
A769388,,04/04/2018 01:07:00 PM,04/04/2018 01:07:00 PM,2110 West Slaughter Lane in Austin (TX),Stray,Nursing,Dog,Intact Male,4 days,Labrador Retriever Mix,Chocolate/Tan,,04/04/2018 01:10:00 PM,04/04/2018 01:10:00 PM,03/31/2018,Dog,Intact Male,4 days,Labrador Retriever Mix,Chocolate/Tan,0.0
A807543,,11/10/2019 01:45:00 PM,11/10/2019 01:45:00 PM,Skyview And Chesterfield in Austin (TX),Stray,Sick,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby/White,,11/11/2019 03:22:00 PM,11/11/2019 03:22:00 PM,10/26/2016,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby/White,0.0
